State,County,Year,EV_Count,Population,Charging_Station_Sites,Charging_Ports,DC_Fast_Ports,Level2_Ports,EV_per_Station,EV_per_Port,Stations_per_10k_People,Ports_per_10k_People,EV_per_10k_People,EV_per_10k_Growth,Stations_per_10k_Growth,EV_per_10k_Lag1,Stations_per_10k_Lag1
CO,ADAMS,2021,28081.0,523159.0,37.0,151.0,27.0,124.0,758.9459459459459,185.96688741721852,0.7072419665914186,2.886311809602817,536.7584233473954,237.4373098428768,0.2652835913841305,299.32111350451856,0.4419583752072881
CO,ADAMS,2022,41579.0,528035.0,62.0,207.0,37.0,170.0,670.6290322580645,200.8647342995169,1.174164591362315,3.920194684064503,787.428863616995,250.67044026959968,0.4669226247708965,536.7584233473954,0.7072419665914186
CO,ADAMS,2023,64171.0,537158.0,80.0,260.0,63.0,197.0,802.1375,246.81153846153848,1.48931971598673,4.840289076956873,1194.6391936823056,407.2103300653106,0.31515512462441486,787.428863616995,1.174164591362315
CO,ADAMS,2024,109587.0,549257.0,99.0,304.0,71.0,233.0,1106.939393939394,360.48355263157896,1.8024349257269368,5.534749670919078,1995.186224299372,800.5470306170664,0.3131152097402068,1194.6391936823056,1.48931971598673
CO,ALAMOSA,2021,275.0,16584.0,6.0,10.0,2.0,8.0,45.833333333333336,27.5,3.61794500723589,6.02990834539315,165.82247949831162,99.26572307161564,1.7861076743910462,66.55675642669598,1.8318373328448436
CO,ALAMOSA,2022,433.0,16630.0,6.0,10.0,2.0,8.0,72.16666666666667,43.3,3.607937462417318,6.013229104028864,260.3728202044498,94.55034070613817,-0.010007544818571912,165.82247949831162,3.61794500723589
CO,ALAMOSA,2023,612.0,16695.0,10.0,22.0,12.0,10.0,61.2,27.818181818181817,5.989817310572028,13.17759808325846,366.5768194070081,106.2039992025583,2.38187984815471,260.3728202044498,3.607937462417318
CO,ALAMOSA,2024,911.0,16691.0,10.0,22.0,12.0,10.0,91.1,41.40909090909091,5.991252770954406,13.180756096099694,545.8031274339464,179.22630802693834,0.0014354603823782952,366.5768194070081,5.989817310572028
CO,ARAPAHOE,2021,62173.0,657020.0,73.0,206.0,34.0,172.0,851.6849315068494,301.81067961165047,1.111077288362607,3.1353687863383155,946.2877842379228,291.67113061933264,0.6227282286634606,654.6166536185901,0.4883490596991465
CO,ARAPAHOE,2022,90859.0,659472.0,85.0,242.0,44.0,198.0,1068.929411764706,375.4504132231405,1.2889099158114372,3.669602348545503,1377.753718126016,431.46593388809333,0.17783262744883022,946.2877842379228,1.111077288362607
CO,ARAPAHOE,2023,134224.0,665778.0,117.0,332.0,60.0,272.0,1147.2136752136753,404.2891566265061,1.7573425376026244,4.986647200718558,2016.0473911724328,638.2936730464166,0.46843262179118716,1377.753718126016,1.2889099158114372
CO,ARAPAHOE,2024,216557.0,675760.0,142.0,383.0,72.0,311.0,1525.0492957746478,565.4229765013055,2.10133775304842,5.66769267195454,3204.643660471173,1188.5962692987403,0.3439952154457957,2016.0473911724328,1.7573425376026244
CO,ARCHULETA,2021,446.0,13808.0,4.0,7.0,1.0,6.0,111.5,63.71428571428572,2.8968713789107765,5.069524913093859,323.0011587485516,202.3397555011212,2.8968713789107765,120.66140324743036,0.0
CO,ARCHULETA,2022,618.0,13975.0,4.0,7.0,1.0,6.0,154.5,88.28571428571429,2.862254025044723,5.008944543828265,442.2182468694097,119.21708812085814,-0.03461735386605369,323.0011587485516,2.8968713789107765
CO,ARCHULETA,2023,1107.0,14156.0,5.0,8.0,2.0,6.0,221.4,138.375,3.532071206555524,5.651313930488839,782.0005651313929,339.7823182619832,0.6698171815108012,442.2182468694097,2.862254025044723
CO,ARCHULETA,2024,1477.0,14134.0,7.0,12.0,2.0,10.0,211.0,123.08333333333331,4.952596575633224,8.490165558228385,1044.9978774586104,262.9973123272175,1.4205253690777004,782.0005651313929,3.532071206555524
CO,BENT,2022,55.0,5428.0,1.0,1.0,0.0,1.0,55.0,55.0,1.842299189388357,1.842299189388357,101.3264554163596,-20.48763753716365,1.842299189388357,121.81409295352324,0.0
CO,BENT,2023,71.0,5711.0,1.0,1.0,0.0,1.0,71.0,71.0,1.751006828926633,1.751006828926633,124.32148485379092,22.995029437431327,-0.09129236046172395,101.3264554163596,1.842299189388357
CO,BENT,2024,98.0,5745.0,1.0,1.0,0.0,1.0,98.0,98.0,1.7406440382941688,1.7406440382941688,170.58311575282855,46.26163089903763,-0.010362790632464147,124.32148485379092,1.751006828926633
CO,BOULDER,2021,90501.0,327325.0,170.0,404.0,46.0,358.0,532.3588235294118,224.01237623762376,5.193614908729856,12.342473077216834,2764.866722676239,730.6775522681808,2.6859256688316138,2034.1891704080583,2.507689239898242
CO,BOULDER,2022,113505.0,327914.0,228.0,530.0,53.0,477.0,497.828947368421,214.16037735849056,6.953042566038657,16.16277438596705,3461.425861658849,696.55913898261,1.7594276573088008,2764.866722676239,5.193614908729856
CO,BOULDER,2023,150566.0,327945.0,261.0,613.0,69.0,544.0,576.8812260536398,245.6215334420881,7.958651603165165,18.69215874613121,4591.196694567687,1129.7708329088377,1.0056090371265078,3461.425861658849,6.953042566038657
CO,BOULDER,2024,220396.0,329485.0,291.0,691.0,85.0,606.0,757.3745704467354,318.9522431259045,8.831965036344599,20.972123161904182,6689.105725602076,2097.909031034389,0.8733134331794341,4591.196694567687,7.958651603165165
CO,BROOMFIELD,2021,13945.0,75413.0,10.0,21.0,0.0,21.0,1394.5,664.047619047619,1.3260313208597987,2.7846657738055773,1849.1506769389891,520.910296712894,0.6547281872167708,1328.240380226095,0.6713031336430278
CO,BROOMFIELD,2022,20147.0,76133.0,17.0,37.0,4.0,33.0,1185.1176470588234,544.5135135135135,2.2329344699407616,4.859916199282834,2646.290045052737,797.1393681137477,0.9069031490809629,1849.1506769389891,1.3260313208597987
CO,BROOMFIELD,2023,31156.0,76972.0,31.0,71.0,12.0,59.0,1005.032258064516,438.8169014084507,4.027438549082784,9.224133451125084,4047.705659200749,1401.415614148012,1.7945040791420221,2646.290045052737,2.2329344699407616
CO,BROOMFIELD,2024,45746.0,78403.0,39.0,86.0,12.0,74.0,1172.974358974359,531.9302325581396,4.9742994528270605,10.968968024182749,5834.725712026325,1787.020052825576,0.9468609037442768,4047.705659200749,4.027438549082784
CO,CHAFFEE,2021,823.0,19731.0,15.0,35.0,9.0,26.0,54.86666666666667,23.51428571428572,7.60225026607876,17.73858395418377,417.11013126552126,132.2902605891382,2.9835496605157914,284.81987067638306,4.618700605562968
CO,CHAFFEE,2022,1665.0,20252.0,17.0,43.0,13.0,30.0,97.94117647058825,38.72093023255814,8.394232668378432,21.23247086707486,822.1410231088287,405.0308918433074,0.7919824022996726,417.11013126552126,7.60225026607876
CO,CHAFFEE,2023,2770.0,20596.0,19.0,45.0,15.0,30.0,145.78947368421052,61.55555555555556,9.22509225092251,21.84890269955331,1344.9213439502817,522.780320841453,0.8308595825440772,822.1410231088287,8.394232668378432
CO,CHAFFEE,2024,4556.0,20796.0,19.0,45.0,15.0,30.0,239.7894736842105,101.24444444444444,9.136372379303712,21.63877668782458,2190.8059242161958,845.8845802659141,-0.0887198716187978,1344.9213439502817,9.22509225092251
CO,CLEAR CREEK,2021,431.0,9403.0,4.0,16.0,8.0,8.0,107.75,26.9375,4.25396150164841,17.01584600659364,458.3643518026162,184.8016247241806,2.1167526963481325,273.5627270784356,2.137208805300278
CO,CLEAR CREEK,2022,649.0,9282.0,5.0,19.0,8.0,11.0,129.8,34.1578947368421,5.386770092652446,20.46972635207929,699.2027580262875,240.83840622367126,1.1328085910040357,458.3643518026162,4.25396150164841
CO,CLEAR CREEK,2023,952.0,9078.0,13.0,27.0,16.0,11.0,73.23076923076923,35.25925925925926,14.320334875523244,29.74223397224058,1048.689138576779,349.4863805504915,8.933564782870798,699.2027580262875,5.386770092652446
CO,CLEAR CREEK,2024,1435.0,9023.0,13.0,27.0,16.0,11.0,110.3846153846154,53.14814814814815,14.407624958439545,29.92352875983597,1590.380139643134,541.691001066355,0.0872900829163008,1048.689138576779,14.320334875523244
CO,CUSTER,2021,206.0,5069.0,1.0,1.0,0.0,1.0,206.0,206.0,1.9727756954034328,1.9727756954034328,406.3917932531072,76.16317343939,1.9727756954034328,330.2286198137172,0.0
CO,CUSTER,2022,280.0,5349.0,2.0,3.0,0.0,3.0,140.0,93.33333333333331,3.7390166386240415,5.608524957936063,523.4623294073658,117.0705361542586,1.7662409432206088,406.3917932531072,1.9727756954034328
CO,CUSTER,2023,427.0,5559.0,2.0,3.0,0.0,3.0,213.5,142.33333333333334,3.597769382982551,5.396654074473826,768.1237632667746,244.66143385940882,-0.14124725564149054,523.4623294073658,3.7390166386240415
CO,CUSTER,2024,723.0,5567.0,3.0,4.0,1.0,3.0,241.0,180.75,5.388898868331237,7.185198491108317,1298.7246272678285,530.6008640010539,1.7911294853486863,768.1237632667746,3.597769382982551
CO,DELTA,2021,989.0,31414.0,4.0,5.0,2.0,3.0,247.25,197.8,1.2733176290825745,1.5916470363532182,314.82778379066656,54.70287232327877,-0.014429457389642408,260.1249114673878,1.287747086472217
CO,DELTA,2022,1440.0,31575.0,4.0,5.0,2.0,3.0,360.0,288.0,1.2668250197941409,1.5835312747426762,456.0570071258908,141.22922333522422,-0.006492609288433648,314.82778379066656,1.2733176290825745
CO,DELTA,2023,1974.0,31786.0,4.0,5.0,2.0,3.0,493.5,394.8,1.2584156546907443,1.5730195683634305,621.0281255898823,164.9711184639915,-0.008409365103396516,456.0570071258908,1.2668250197941409
CO,DELTA,2024,2861.0,32294.0,11.0,16.0,7.0,9.0,260.09090909090907,178.8125,3.406205487087385,4.954480708490741,885.9230816870006,264.8949560971183,2.147789832396641,621.0281255898823,1.2584156546907443
CO,DENVER,2021,87112.0,712156.0,162.0,462.0,50.0,412.0,537.7283950617284,188.55411255411252,2.2747824914765866,6.4873426608776725,1223.2151382562247,374.2852530706266,0.8953376135365576,848.9298851855981,1.379444877940029
CO,DENVER,2022,134329.0,716800.0,212.0,579.0,61.0,518.0,633.627358490566,232.0017271157168,2.957589285714286,8.077566964285715,1874.009486607143,650.7943483509182,0.6828067942376994,1223.2151382562247,2.2747824914765866
CO,DENVER,2023,254444.0,726763.0,251.0,748.0,95.0,653.0,1013.7211155378486,340.16577540106954,3.4536705913757304,10.292213555175485,3501.0588045896666,1627.0493179825237,0.49608130566144437,1874.009486607143,2.957589285714286
CO,DENVER,2024,388951.0,741591.0,332.0,959.0,127.0,832.0,1171.539156626506,405.5797705943691,4.476861234831599,12.931656398203325,5244.8182353885095,1743.759430798843,1.0231906434558686,3501.0588045896666,3.4536705913757304
CO,DOLORES,2021,63.0,2375.0,1.0,2.0,0.0,2.0,63.0,31.5,4.210526315789474,8.421052631578949,265.2631578947368,67.92296055453951,-0.07947797421481528,197.3401973401973,4.29000429000429
CO,DOLORES,2022,72.0,2458.0,1.0,2.0,0.0,2.0,72.0,36.0,4.068348250610252,8.136696501220504,292.9210740439382,27.657916149201355,-0.14217806517922238,265.2631578947368,4.210526315789474
CO,DOLORES,2023,129.0,2521.0,1.0,2.0,0.0,2.0,129.0,64.5,3.9666798889329633,7.933359777865927,511.70170567235226,218.78063162841408,-0.10166836167728865,292.9210740439382,4.068348250610252
CO,DOLORES,2024,212.0,2452.0,1.0,2.0,0.0,2.0,212.0,106.0,4.078303425774878,8.156606851549755,864.600326264274,352.89862059192177,0.11162353684191428,511.70170567235226,3.9666798889329633
CO,DOUGLAS,2021,54908.0,369831.0,29.0,90.0,25.0,65.0,1893.379310344828,610.0888888888888,0.7841419459158372,2.4335439700836328,1484.678136770579,573.2811646767166,0.4511000242639493,911.3969720938624,0.3330419216518879
CO,DOUGLAS,2022,86093.0,376188.0,33.0,100.0,25.0,75.0,2608.878787878788,860.93,0.877220963986092,2.6582453454124,2288.5631652258976,803.8850284553187,0.09307901807025476,1484.678136770579,0.7841419459158372
CO,DOUGLAS,2023,136276.0,384579.0,48.0,136.0,33.0,103.0,2839.083333333333,1002.029411764706,1.2481180719696083,3.536334537247224,3543.5112161610487,1254.948050935151,0.3708971079835164,2288.5631652258976,0.877220963986092
CO,DOUGLAS,2024,226206.0,393051.0,57.0,162.0,38.0,124.0,3968.5263157894738,1396.3333333333333,1.4501934863414672,4.1216025401283805,5755.131013532595,2211.619797371546,0.20207541437185883,3543.5112161610487,1.2481180719696083
CO,EAGLE,2021,5943.0,55786.0,50.0,109.0,16.0,93.0,118.86,54.522935779816514,8.962822213458574,19.53895242533969,1065.321048291686,321.11995947985656,3.2133208030340104,744.2010888118295,5.749501410424564
CO,EAGLE,2022,9246.0,55347.0,70.0,149.0,22.0,127.0,132.0857142857143,62.053691275167786,12.64747863479502,26.92106166549226,1670.5512493902108,605.2302010985247,3.684656421336445,1065.321048291686,8.962822213458574
CO,EAGLE,2023,13344.0,54807.0,86.0,182.0,27.0,155.0,155.1627906976744,73.31868131868131,15.69142627766526,33.20743700622183,2434.7254912693634,764.1742418791525,3.04394764287024,1670.5512493902108,12.64747863479502
CO,EAGLE,2024,17774.0,54635.0,111.0,242.0,35.0,207.0,160.12612612612614,73.44628099173553,20.31664683810744,44.29395076416217,3253.225954058754,818.5004627893904,4.625220560442182,2434.7254912693634,15.69142627766526
CO,EL PASO,2021,48504.0,738405.0,36.0,94.0,25.0,69.0,1347.3333333333333,516.0,0.4875373270766043,1.2730141318111334,656.8752920145448,259.1764391808383,0.1468083578907694,397.6988528337065,0.3407289691858349
CO,EL PASO,2022,73362.0,741819.0,54.0,139.0,35.0,104.0,1358.5555555555557,527.7841726618705,0.7279403735951762,1.8737724431431384,988.9474386609132,332.0721466463684,0.24040304651857186,656.8752920145448,0.4875373270766043
CO,EL PASO,2023,107776.0,745819.0,75.0,187.0,54.0,133.0,1437.013333333333,576.3422459893048,1.005605917789705,2.5073107550223317,1445.0691119427102,456.1216732817969,0.2776655441945288,988.9474386609132,0.7279403735951762
CO,EL PASO,2024,169587.0,752356.0,92.0,224.0,61.0,163.0,1843.3369565217392,757.0848214285714,1.222825364588041,2.977313931170882,2254.079185917305,809.0100739745949,0.21721944679833594,1445.0691119427102,1.005605917789705
