State,County,Year,EV_Count,Population,Charging_Station_Sites,Charging_Ports,DC_Fast_Ports,Level2_Ports,EV_per_Station,EV_per_Port,Stations_per_10k_People,Ports_per_10k_People,EV_per_10k_People
CO,CHEYENNE,2024,98.0,1692.0,0.0,0.0,0.0,0.0,,,0.0,0.0,579.1962174940899
CO,CLEAR CREEK,2020,256.0,9358.0,2.0,10.0,8.0,2.0,128.0,25.6,2.137208805300278,10.686044026501389,273.56272707843556
CO,CLEAR CREEK,2021,431.0,9403.0,4.0,16.0,8.0,8.0,107.75,26.9375,4.25396150164841,17.01584600659364,458.3643518026162
CO,CLEAR CREEK,2022,649.0,9282.0,5.0,19.0,8.0,11.0,129.8,34.1578947368421,5.386770092652446,20.469726352079295,699.2027580262875
CO,CLEAR CREEK,2023,952.0,9078.0,13.0,27.0,16.0,11.0,73.23076923076923,35.25925925925926,14.320334875523244,29.74223397224058,1048.689138576779
CO,CLEAR CREEK,2024,1435.0,9023.0,13.0,27.0,16.0,11.0,110.38461538461539,53.148148148148145,14.407624958439543,29.923528759835975,1590.380139643134
CO,CONEJOS,2020,59.0,7457.0,0.0,0.0,0.0,0.0,,,0.0,0.0,79.12028966072147
CO,CONEJOS,2021,102.0,7588.0,0.0,0.0,0.0,0.0,,,0.0,0.0,134.42277279915655
CO,CONEJOS,2022,112.0,7569.0,0.0,0.0,0.0,0.0,,,0.0,0.0,147.97199101598625
CO,CONEJOS,2023,185.0,7500.0,0.0,0.0,0.0,0.0,,,0.0,0.0,246.66666666666666
CO,CONEJOS,2024,340.0,7524.0,0.0,0.0,0.0,0.0,,,0.0,0.0,451.88729399255715
CO,COSTILLA,2020,24.0,3499.0,0.0,0.0,0.0,0.0,,,0.0,0.0,68.5910260074307
CO,COSTILLA,2021,47.0,3607.0,0.0,0.0,0.0,0.0,,,0.0,0.0,130.30219018574994
CO,COSTILLA,2022,121.0,3602.0,0.0,0.0,0.0,0.0,,,0.0,0.0,335.9244863964464
CO,COSTILLA,2023,227.0,3618.0,0.0,0.0,0.0,0.0,,,0.0,0.0,627.4184632393589
CO,COSTILLA,2024,387.0,3673.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1053.6346310917506
CO,CROWLEY,2020,43.0,5707.0,0.0,0.0,0.0,0.0,,,0.0,0.0,75.34606623444893
CO,CROWLEY,2021,44.0,5758.0,0.0,0.0,0.0,0.0,,,0.0,0.0,76.41542202153525
CO,CROWLEY,2022,24.0,5611.0,0.0,0.0,0.0,0.0,,,0.0,0.0,42.77312422028159
CO,CROWLEY,2023,53.0,5639.0,0.0,0.0,0.0,0.0,,,0.0,0.0,93.98829579712715
CO,CROWLEY,2024,120.0,5648.0,0.0,0.0,0.0,0.0,,,0.0,0.0,212.46458923512748
CO,CUSTER,2020,156.0,4724.0,0.0,0.0,0.0,0.0,,,0.0,0.0,330.2286198137172
CO,CUSTER,2021,206.0,5069.0,1.0,1.0,0.0,1.0,206.0,206.0,1.9727756954034326,1.9727756954034326,406.39179325310715
CO,CUSTER,2022,280.0,5349.0,2.0,3.0,0.0,3.0,140.0,93.33333333333333,3.7390166386240415,5.608524957936063,523.4623294073658
CO,CUSTER,2023,427.0,5559.0,2.0,3.0,0.0,3.0,213.5,142.33333333333334,3.597769382982551,5.396654074473826,768.1237632667746
